Well,Unit,Pozo 1,Pozo 2,Pozo n
BOPD,BOPD,,,
BWPD,BWPD,,,
MSCF,MSCFD,,,
Temperature Head,F,,,
Temperature Bottom,F,,,
Pressure Head,psia,,,
Pressure Bottom,psia,,,
Sodium,mg/l,,,
Magnesium,mg/l,,,
Calcium,mg/l,,,
Barium,mg/l,,,
Strontium,mg/l,,,
Potassium,mg/l,,,
Chlorides,mg/l,,,
Sulphates,mg/l,,,
Alkalinity,mg/l,,,
Carboxylic acids,mg/l,,,
CO2 Fraction in Gas,,,,
Well Pipe Diameter,in,,,
Well Depth,ft,,,
dosis_ic,gpd,,,
dosis_is,gpd,,,
precio_ic,usd/gal,,,
precio_is,usd/gal,,,
h2s_gas,%,,,
co2_agua,%,,,
h2s_agua,ppm,,,
dureza_total,ppm,,,
hierro,ppm,,,
solidos,ptb,,,
dureza_calcica,ppm,,,
salinidad,ppm,,,
tipo_levantamiento,,,,
arena_productora,,,,
